Type,method,ka,species
Speciation_gene_pairs_inverse_direction,mean,0.184597399904,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.150249,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.13404830256926267,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.17644387005259998,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.156057,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.10370065603796856,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.170423138367,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.14103,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.12033228985531617,A. splendens
Speciation_gene_pairs_same_direction,mean,0.16178974959476,A. splendens
Speciation_gene_pairs_same_direction,median,0.140829,A. splendens
Speciation_gene_pairs_same_direction,std,0.09746823702648245,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.1704725329884,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.1429745,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.11195644753150336,A. searsii
Speciation_gene_pairs_same_direction,mean,0.17453821870684003,A. searsii
Speciation_gene_pairs_same_direction,median,0.15316,A. searsii
Speciation_gene_pairs_same_direction,std,0.10011206030187203,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.17396962280800002,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.142545,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.12187941608534995,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.17391267356291998,A. aequalis
Speciation_gene_pairs_same_direction,median,0.1538855,A. aequalis
Speciation_gene_pairs_same_direction,std,0.09837404399436386,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.1687323506991,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.140583,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.11616523327658172,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.1661982977119,A. sativa.ot3098
