Type,method,ka,species
Speciation_gene_pairs_inverse_direction,mean,0.19610735999999998,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.1585,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.14536409580039078,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.18195540021600864,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.1627,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.10373359304602521,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.17815730000000002,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.1487,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.12609311052536637,A. splendens
Speciation_gene_pairs_same_direction,mean,0.16588626800000003,A. splendens
Speciation_gene_pairs_same_direction,median,0.1458,A. splendens
Speciation_gene_pairs_same_direction,std,0.09674023110411928,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.18170687,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.1544,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.1169487448872204,A. searsii
Speciation_gene_pairs_same_direction,mean,0.17908547600000002,A. searsii
Speciation_gene_pairs_same_direction,median,0.1588,A. searsii
Speciation_gene_pairs_same_direction,std,0.10041845452292979,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.18524337000000002,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.152,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.12748738563243278,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.17993457,A. aequalis
Speciation_gene_pairs_same_direction,median,0.1599,A. aequalis
Speciation_gene_pairs_same_direction,std,0.09911612787458587,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.17224079,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.1436,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.11996420717979273,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.17011010999999998,A. sativa.ot3098
