Type,Corr_Value,species_pair,tissue_time
Speciation_gene_pairs,0.707732734227106,Sb_Ta,root_d1
Speciation_gene_pairs,0.7342946455941581,Sb_Ta,root_d1
Speciation_gene_pairs,0.6431666774602747,Sb_Ta,root_d1
Speciation_gene_pairs,0.4858300016667728,Sb_Ta,root_d1
Speciation_gene_pairs,0.6842077827467875,Sb_Ta,root_d1
Speciation_gene_pairs,0.791218412123849,Sb_Ta,root_d1
Speciation_gene_pairs,0.798823122285034,Sb_Ta,root_d1
Speciation_gene_pairs,0.591630288377436,Sb_Ta,root_d1
Speciation_gene_pairs,0.7279816043453987,Sb_Ta,root_d1
Speciation_gene_pairs,0.6834396363615408,Sb_Ta,root_d1
Speciation_gene_pairs,0.6961057402712979,Sb_Ta,root_d1
Speciation_gene_pairs,0.5026401792618252,Sb_Ta,root_d1
Speciation_gene_pairs,0.6866959073393959,Sb_Ta,root_d1
Speciation_gene_pairs,0.8166160085592747,Sb_Ta,root_d1
Speciation_gene_pairs,0.7437402514871277,Sb_Ta,root_d1
Speciation_gene_pairs,0.8785793032955348,Sb_Ta,root_d1
Speciation_gene_pairs,0.5656313798051082,Sb_Ta,root_d1
Speciation_gene_pairs,0.6852738421223262,Sb_Ta,root_d1
Speciation_gene_pairs,0.7687118705822467,Sb_Ta,root_d1
Speciation_gene_pairs,0.921022203198162,Sb_Ta,root_d1
Speciation_gene_pairs,0.8572813014155726,Sb_Ta,root_d1
Speciation_gene_pairs,0.8755657574704295,Sb_Ta,root_d1
Speciation_gene_pairs,0.905574178861342,Sb_Ta,root_d1
Speciation_gene_pairs,0.7980325729636047,Sb_Ta,root_d1
Speciation_gene_pairs,0.5435653384379512,Sb_Ta,root_d1
Speciation_gene_pairs,0.7387619123702804,Sb_Ta,root_d1
Speciation_gene_pairs,0.6377855417501874,Sb_Ta,root_d1
Speciation_gene_pairs,0.8195464551081519,Sb_Ta,root_d1
Speciation_gene_pairs,0.6382277055142758,Sb_Ta,root_d1
Speciation_gene_pairs,0.8245357355877817,Sb_Ta,root_d1
Speciation_gene_pairs,0.8324096813899994,Sb_Ta,root_d1
Speciation_gene_pairs,0.4553821900585491,Sb_Ta,root_d1
Speciation_gene_pairs,0.5766411828151928,Sb_Ta,root_d1
Speciation_gene_pairs,0.8989304824708672,Sb_Ta,root_d1
Speciation_gene_pairs,0.7039451596579903,Sb_Ta,root_d1
Speciation_gene_pairs,0.8320313356663459,Sb_Ta,root_d1
Speciation_gene_pairs,0.5707484525489084,Sb_Ta,root_d1
