Index1,Corr_Value1,Index2,Corr_Value2
1.0,0.8886629093316759,1,0.7667869980456951
2.0,0.814291310351514,2,0.5756358567313723
3.0,0.8246445476053523,3,0.8030227052869092
4.0,0.7935954502246837,4,0.7890856030924481
5.0,0.6540585242829556,5,0.6118071311008904
6.0,0.8429302817643448,6,0.75757954784014
7.0,0.6560667982316308,7,0.6485289295013189
8.0,0.7302157734334228,8,0.6796562537107238
9.0,0.8735683116409597,9,0.8223662816243047
10.0,0.7669273893243003,10,0.7854754480355378
11.0,0.8093407125702985,11,0.748176569799125
12.0,0.7987570090081733,12,0.7311105293652651
13.0,0.7203288189443323,13,0.5288780920310154
14.0,0.6908692514255539,14,0.5531332419805458
15.0,0.8852232859736218,15,0.6434788634030131
16.0,0.7960120505693611,16,0.7622925167928987
17.0,0.7634747160292749,17,0.7872139978136301
18.0,0.9248367939163903,18,0.7806021242955513
19.0,0.6079789467772017,19,0.6848447317977846
20.0,0.7545752669605813,20,0.7009057757985513
21.0,0.7305986507663953,21,0.6942354907170183
22.0,0.8535256984967172,22,0.840636599786228
23.0,0.8264454180136112,23,0.8158260060442932
24.0,0.6832970224633304,24,0.7817577265544129
25.0,0.6318223165878016,25,0.8294207674607587
26.0,0.7585917213166372,26,0.6481778685937609
27.0,0.6470388394844216,27,0.6123317806350327
28.0,0.764077848359897,28,0.8460752430158206
29.0,0.9223353096408752,29,0.5852925435041506
30.0,0.7849504616596154,30,0.6752554450204253
31.0,0.8342773220217518,31,0.6989797522271393
32.0,0.6799237776959799,32,0.9098140958977794
33.0,0.7754582748355809,33,0.6043355108690764
34.0,0.7796056940320331,34,0.8169869550939053
35.0,0.815219878297159,35,0.8164442690652807
36.0,0.8573829644499427,36,0.8682091700540262
37.0,0.7667704918677443,37,0.7890297746453054
38.0,0.8088058042625196,38,0.7153885930451201
39.0,0.7809048449819962,39,0.671701680050251
40.0,0.8040300909547833,40,0.707740019416273
41.0,0.8421260174316217,41,0.8891832639855404
42.0,0.8322118911864573,42,0.6966417835210732
43.0,0.7264259084305326,43,0.7949842270290697
44.0,0.73129720576031,44,0.792029377919271
45.0,0.8861399586270987,45,0.5165363923631627
46.0,0.56342861658968,46,0.6758747659661086
47.0,0.8452570218553355,47,0.651841303190704
48.0,0.8264819513465341,48,0.8863842070450874
49.0,0.7752391773558852,49,0.7619104669818656
50.0,0.866174016375271,50,0.8614056142833104
51.0,0.49753652539459603,51,0.7675917785648392
52.0,0.8053341769481737,52,0.8042544120578603
53.0,0.6683106206012402,53,0.7355526392008133
54.0,0.847937221439533,54,0.7193749996020323
55.0,0.665465005649918,55,0.7107069916864421
56.0,0.8956931241853091,56,0.7098041563269117
57.0,0.8055844990813211,57,0.73613568490547
58.0,0.9230490497977563,58,0.4875337851284582
59.0,0.7423626945324286,59,0.8512590705639748
60.0,0.6035092082926933,60,0.8679909891018283
61.0,0.7407541174393691,61,0.7975612309915805
62.0,0.6638850969807282,62,0.7954907589165284
63.0,0.8303698934204313,63,0.6862272681121842
64.0,0.7614636259080023,64,0.7596332069068094
65.0,0.8661642777599874,65,0.7981432003897952
66.0,0.5416102768074338,66,0.8551104930321031
67.0,0.8121820086791782,67,0.658261527465013
68.0,0.6426726202830868,68,0.7912096332668462
69.0,0.8458784807598015,69,0.8303629418260998
70.0,0.8555144471155878,70,0.8921004291218286
71.0,0.7651091906728806,71,0.5626455998555893
72.0,0.7345085059648535,72,0.8545761567024156
73.0,0.845401233886836,73,0.9067657319910108
74.0,0.7996026364085103,74,0.7955322203933918
75.0,0.662276189323714,75,0.6242004889920244
76.0,0.8076068202494024,76,0.8473829347849376
77.0,0.8577519995522082,77,0.675651470110294
78.0,0.8514859443431447,78,0.5244617006335967
79.0,0.7877405782764042,79,0.8871164508735506
80.0,0.6041380793087722,80,0.7760250802798933
81.0,0.7470612398299046,81,0.826579818109751
82.0,0.7478624038440904,82,0.8031705173567937
83.0,0.6363276979935549,83,0.7065547192313268
84.0,0.9098963277221508,84,0.6135278320482912
85.0,0.8161043661056705,85,0.7234654297805339
86.0,0.8348663482147558,86,0.8477558225736153
87.0,0.8743742893506391,87,0.748437766089235
88.0,0.7832850008399034,88,0.5695444508903283
89.0,0.6368959404327591,89,0.6452977292858141
90.0,0.800826418679863,90,0.6903839958429471
91.0,0.7332337891725202,91,0.6853882549303358
92.0,0.8114732384626555,92,0.8062571290981052
93.0,0.7404373272867656,93,0.7024295365109122
94.0,0.8460811889722013,94,0.7682301483657631
95.0,0.8629721385393191,95,0.6465112019449851
