gene:AVESA.00001b.r3.1Ag0000813 gene:AVESA.00001b.r3.1Ag0000814
gene:AVESA.00001b.r3.1Ag0000820 gene:AVESA.00001b.r3.1Ag0000821
gene:AVESA.00001b.r3.1Ag0000834 gene:AVESA.00001b.r3.1Ag0000835
gene:AVESA.00001b.r3.1Ag0000845 gene:AVESA.00001b.r3.1Ag0000849
gene:AVESA.00001b.r3.1Ag0000866 gene:AVESA.00001b.r3.1Ag0000870
gene:AVESA.00001b.r3.1Ag0000868 gene:AVESA.00001b.r3.1Ag0000869
gene:AVESA.00001b.r3.1Ag0000875 gene:AVESA.00001b.r3.1Ag0000876
gene:AVESA.00001b.r3.1Ag0000875 gene:AVESA.00001b.r3.1Ag0000878
gene:AVESA.00001b.r3.1Ag0000876 gene:AVESA.00001b.r3.1Ag0000878
gene:AVESA.00001b.r3.1Ag0000878 gene:AVESA.00001b.r3.1Ag0000879
gene:AVESA.00001b.r3.1Ag0000923 gene:AVESA.00001b.r3.1Ag0000926
gene:AVESA.00001b.r3.1Ag0000924 gene:AVESA.00001b.r3.1Ag0000927
gene:AVESA.00001b.r3.1Ag0001029 gene:AVESA.00001b.r3.1Ag0001031
gene:AVESA.00001b.r3.1Ag0001101 gene:AVESA.00001b.r3.1Ag0001102
gene:AVESA.00001b.r3.1Ag0001125 gene:AVESA.00001b.r3.1Ag0001129
gene:AVESA.00001b.r3.1Ag0001127 gene:AVESA.00001b.r3.1Ag0001130
gene:AVESA.00001b.r3.1Ag0001129 gene:AVESA.00001b.r3.1Ag0001133
gene:AVESA.00001b.r3.1Ag0001134 gene:AVESA.00001b.r3.1Ag0001135
gene:AVESA.00001b.r3.1Ag0001142 gene:AVESA.00001b.r3.1Ag0001143
gene:AVESA.00001b.r3.1Ag0001156 gene:AVESA.00001b.r3.1Ag0001157
gene:AVESA.00001b.r3.1Ag0001156 gene:AVESA.00001b.r3.1Ag0001158
gene:AVESA.00001b.r3.1Ag0001157 gene:AVESA.00001b.r3.1Ag0001158
gene:AVESA.00001b.r3.1Ag0001161 gene:AVESA.00001b.r3.1Ag0001162
gene:AVESA.00001b.r3.1Ag0001161 gene:AVESA.00001b.r3.1Ag0001163
gene:AVESA.00001b.r3.1Ag0001162 gene:AVESA.00001b.r3.1Ag0001163
gene:AVESA.00001b.r3.1Ag0001166 gene:AVESA.00001b.r3.1Ag0001171
gene:AVESA.00001b.r3.1Ag0001187 gene:AVESA.00001b.r3.1Ag0001188
gene:AVESA.00001b.r3.1Ag0001187 gene:AVESA.00001b.r3.1Ag0001189
gene:AVESA.00001b.r3.1Ag0001188 gene:AVESA.00001b.r3.1Ag0001189
gene:AVESA.00001b.r3.1Ag0001191 gene:AVESA.00001b.r3.1Ag0001192
gene:AVESA.00001b.r3.1Ag0001247 gene:AVESA.00001b.r3.1Ag0001248
gene:AVESA.00001b.r3.1Ag0001257 gene:AVESA.00001b.r3.1Ag0001259
gene:AVESA.00001b.r3.1Ag0001263 gene:AVESA.00001b.r3.1Ag0001264
gene:AVESA.00001b.r3.1Ag0001311 gene:AVESA.00001b.r3.1Ag0001315
gene:AVESA.00001b.r3.1Ag0001312 gene:AVESA.00001b.r3.1Ag0001314
gene:AVESA.00001b.r3.1Ag0001317 gene:AVESA.00001b.r3.1Ag0001318
gene:AVESA.00001b.r3.1Ag0001329 gene:AVESA.00001b.r3.1Ag0001330
gene:AVESA.00001b.r3.1Ag0001329 gene:AVESA.00001b.r3.1Ag0001332
gene:AVESA.00001b.r3.1Ag0001330 gene:AVESA.00001b.r3.1Ag0001332
gene:AVESA.00001b.r3.1Ag0001332 gene:AVESA.00001b.r3.1Ag0001333
gene:AVESA.00001b.r3.1Ag0001335 gene:AVESA.00001b.r3.1Ag0001336
gene:AVESA.00001b.r3.1Ag0001335 gene:AVESA.00001b.r3.1Ag0001337
gene:AVESA.00001b.r3.1Ag0001336 gene:AVESA.00001b.r3.1Ag0001337
gene:AVESA.00001b.r3.1Ag0001349 gene:AVESA.00001b.r3.1Ag0001350
gene:AVESA.00001b.r3.1Ag0001354 gene:AVESA.00001b.r3.1Ag0001355
gene:AVESA.00001b.r3.1Ag0001363 gene:AVESA.00001b.r3.1Ag0001364
gene:AVESA.00001b.r3.1Ag0001378 gene:AVESA.00001b.r3.1Ag0001379
gene:AVESA.00001b.r3.1Ag0001384 gene:AVESA.00001b.r3.1Ag0001385
gene:AVESA.00001b.r3.1Ag0001408 gene:AVESA.00001b.r3.1Ag0001409
gene:AVESA.00001b.r3.1Ag0001441 gene:AVESA.00001b.r3.1Ag0001443
gene:AVESA.00001b.r3.1Ag0001463 gene:AVESA.00001b.r3.1Ag0001464
gene:AVESA.00001b.r3.1Ag0001472 gene:AVESA.00001b.r3.1Ag0001473
gene:AVESA.00001b.r3.1Ag0001479 gene:AVESA.00001b.r3.1Ag0001482
gene:AVESA.00001b.r3.1Ag0001497 gene:AVESA.00001b.r3.1Ag0001499
gene:AVESA.00001b.r3.1Ag0001505 gene:AVESA.00001b.r3.1Ag0001507
gene:AVESA.00001b.r3.1Ag0001544 gene:AVESA.00001b.r3.1Ag0001545
gene:AVESA.00001b.r3.1Ag0001583 gene:AVESA.00001b.r3.1Ag0001584
gene:AVESA.00001b.r3.1Ag0001583 gene:AVESA.00001b.r3.1Ag0001585
gene:AVESA.00001b.r3.1Ag0001584 gene:AVESA.00001b.r3.1Ag0001585
gene:AVESA.00001b.r3.1Ag0001616 gene:AVESA.00001b.r3.1Ag0001619
gene:AVESA.00001b.r3.1Ag0001618 gene:AVESA.00001b.r3.1Ag0001623
gene:AVESA.00001b.r3.1Ag0001628 gene:AVESA.00001b.r3.1Ag0001629
gene:AVESA.00001b.r3.1Ag0001632 gene:AVESA.00001b.r3.1Ag0001633
gene:AVESA.00001b.r3.1Ag0001647 gene:AVESA.00001b.r3.1Ag0001648
gene:AVESA.00001b.r3.1Ag0001669 gene:AVESA.00001b.r3.1Ag0001670
gene:AVESA.00001b.r3.1Ag0001670 gene:AVESA.00001b.r3.1Ag0001671
gene:AVESA.00001b.r3.1Ag0001700 gene:AVESA.00001b.r3.1Ag0001702
gene:AVESA.00001b.r3.1Ag0001701 gene:AVESA.00001b.r3.1Ag0001702
gene:AVESA.00001b.r3.1Ag0001701 gene:AVESA.00001b.r3.1Ag0001703
gene:AVESA.00001b.r3.1Ag0001702 gene:AVESA.00001b.r3.1Ag0001703
gene:AVESA.00001b.r3.1Ag0001706 gene:AVESA.00001b.r3.1Ag0001708
gene:AVESA.00001b.r3.1Ag0001708 gene:AVESA.00001b.r3.1Ag0001709
gene:AVESA.00001b.r3.1Ag0001733 gene:AVESA.00001b.r3.1Ag0001735
gene:AVESA.00001b.r3.1Ag0001733 gene:AVESA.00001b.r3.1Ag0001736
gene:AVESA.00001b.r3.1Ag0001735 gene:AVESA.00001b.r3.1Ag0001736
gene:AVESA.00001b.r3.1Ag0001735 gene:AVESA.00001b.r3.1Ag0001737
gene:AVESA.00001b.r3.1Ag0001736 gene:AVESA.00001b.r3.1Ag0001737
gene:AVESA.00001b.r3.1Ag0001736 gene:AVESA.00001b.r3.1Ag0001738
gene:AVESA.00001b.r3.1Ag0001737 gene:AVESA.00001b.r3.1Ag0001738
gene:AVESA.00001b.r3.1Ag0001751 gene:AVESA.00001b.r3.1Ag0001752
gene:AVESA.00001b.r3.1Ag0001772 gene:AVESA.00001b.r3.1Ag0001773
gene:AVESA.00001b.r3.1Ag0001783 gene:AVESA.00001b.r3.1Ag0001784
gene:AVESA.00001b.r3.1Ag0001783 gene:AVESA.00001b.r3.1Ag0001785
gene:AVESA.00001b.r3.1Ag0001784 gene:AVESA.00001b.r3.1Ag0001785
