Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.5901615330288921,1.0,0.37370881412937895,1.0,0.41800599375551756
2,0.5156284858929915,2.0,0.5336462029182795,2.0,0.4221082248042351
3,0.7942372821589485,3.0,0.592844424353718,3.0,0.45097658577794664
4,0.6990898620247331,4.0,0.3722368196362026,4.0,0.6122961202048218
5,0.758825329400321,5.0,0.48904517181427193,5.0,0.41118661796495254
6,0.8750085108821407,6.0,0.5170835039601848,6.0,0.43317696200589767
7,0.5020921810559881,7.0,0.7271656914582222,7.0,0.51355049554576
8,0.5517757072876543,8.0,0.4469421305711678,8.0,0.6455807685687407
9,0.7889620603459667,9.0,0.445663528640258,9.0,0.41476201775535937
10,0.666452819960137,10.0,0.7302145016208081,10.0,0.6614149872175045
11,0.5412957546454524,11.0,0.7727520825557038,11.0,0.39731381918799913
12,0.619362172836936,12.0,0.5288137932642677,12.0,0.46751300591948897
13,0.7264039511774896,13.0,0.628526964725639,13.0,0.3891896066457612
14,0.8457318722837283,14.0,0.7618936985519824,14.0,0.5849738332407881
15,0.8235144544499358,15.0,0.4022235966204663,15.0,0.3953150155704799
16,0.7106051559016997,16.0,0.4065775945641859,16.0,0.5114525548041204
17,0.7886888736493753,17.0,0.5598011729087579,17.0,0.5595467922666002
18,0.7683809556578669,18.0,0.5665753041165543,18.0,0.522911950750443
19,0.7123086480172075,19.0,0.39816702388462566,19.0,0.5020559340003059
20,0.6007831847884277,20.0,0.5125122757245387,20.0,0.4745631052809278
21,0.8078874394640191,21.0,0.36609485939663894,21.0,0.45078525641929845
22,0.8690181999259584,22.0,0.6460928931236043,22.0,0.46630837926937885
23,0.582318654994712,23.0,0.5115115470918022,23.0,0.5419405524765899
24,0.7410162583624057,24.0,0.6243583421198574,24.0,0.38749434233514796
25,0.4247118003493007,25.0,0.6504562040551636,25.0,0.6563783302774554
26,0.771644361878094,26.0,0.6072284973857237,26.0,0.5388017073907292
27,0.7979491294969208,27.0,0.5197806695726545,27.0,0.5125381424734997
28,0.8413831587878339,28.0,0.3645462404438249,28.0,0.5704656639955882
29,0.36266040341016703,29.0,0.5391127019892168,29.0,0.418946028845136
