Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.8447163515016683,1.0,0.6048943270300334,1.0,0.567964404894327
2,0.8344827586206897,2.0,0.46206896551724136,2.0,0.5350389321468298
3,0.6489432703003337,3.0,0.47897664071190205,3.0,0.42380422691879865
4,0.8331479421579533,4.0,0.5123470522803114,4.0,0.46651835372636263
5,0.8411568409343715,5.0,0.49855394883203563,5.0,0.5323692992213571
6,0.8051167964404894,6.0,0.6195773081201335,6.0,0.49410456062291436
7,0.7388209121245829,7.0,0.6627363737486095,7.0,0.5764182424916573
8,0.5417130144605116,8.0,0.40556173526140155,8.0,0.38242491657397104
9,0.7597330367074527,9.0,0.49365962180200224,9.0,0.42380422691879865
10,0.8794215795328141,10.0,0.5372636262513905,10.0,0.4427633802011422
11,0.4883203559510568,11.0,0.5595105672969966,11.0,0.5937708565072302
12,0.7374860956618465,12.0,0.6858731924360401,12.0,0.41579532814238046
13,0.5879866518353727,13.0,0.4625139043381535,13.0,0.5572858731924359
14,0.7810901001112347,14.0,0.49410456062291436,14.0,0.45494994438264746
15,0.7379310344827587,15.0,0.5043381535038932,15.0,0.5001668737146572
16,0.657842046718576,16.0,0.3704115684093437,16.0,0.5537263626251391
17,0.8024471635150167,17.0,0.5096774193548387,17.0,0.38331479421579534
18,0.8580645161290322,18.0,0.5804226918798664,18.0,0.5519466073414906
19,0.7441601779755282,19.0,0.7268075639599554,19.0,0.7432703003337041
20,0.7837597330367074,20.0,0.5003337041156841,20.0,0.39621802002224693
21,0.7997775305895439,21.0,0.49766407119021133,21.0,0.3659621802002225
22,0.7944382647385985,22.0,0.3997775305895439,22.0,0.49321468298109006
23,0.7001112347052281,23.0,0.43270300333704115,23.0,0.44783092324805335
24,0.7819799777530589,24.0,0.6956618464961067,24.0,0.49988876529477194
25,0.7210233592880979,25.0,0.5684093437152391,25.0,0.40734149054505003
26,0.8512626596228994,26.0,0.5016685205784205,26.0,0.5159065628476084
27,0.699666295884316,27.0,0.7530589543937708,27.0,0.5746384872080088
28,0.7850945494994438,28.0,0.5982202447163515,28.0,0.4425408860402371
29,0.5684093437152391,29.0,0.5604004449388209,29.0,0.4460511679644049
30,0.8100111234705227,30.0,0.553281423804227,30.0,0.6088987764182424
31,0.821579532814238,31.0,0.4816462736373748,31.0,0.4197997775305895
32,0.7330367074527252,32.0,0.5078976640711901,32.0,0.43670745272525024
33,0.7397107897664071,33.0,0.7161290322580645,33.0,0.42602892102335926
34,0.6823136818687431,34.0,0.4580645161290322,34.0,0.3775305895439377
35,0.7081201334816463,35.0,0.525250278086763,35.0,0.5323692992213571
36,0.6084538375973303,36.0,0.6369299221357063,36.0,0.43448275862068964
37,0.8803114571746384,37.0,0.40600667408231367,37.0,0.3793103448275862
38,0.5123470522803114,38.0,0.593325917686318,38.0,0.516186453299824
39,0.8576195773081201,39.0,0.6436040044493881,39.0,0.4331479421579533
40,0.5541713014460512,40.0,0.48654060066740823,40.0,0.4295884315906563
41,0.7988876529477197,41.0,0.5132369299221357,41.0,0.4509454949944383
42,0.725027808676307,42.0,0.5902113459399333,42.0,0.43893214682981085
43,0.8144605116796441,43.0,0.4353726362625139,43.0,0.5658026511816606
44,0.8723025583982202,44.0,0.657842046718576,44.0,0.6525027808676307
45,0.6222469410456063,45.0,0.7454949944382647,45.0,0.4838709677419355
46,0.8442714126807563,46.0,0.44560622914349274,46.0,0.4291434927697442
47,0.7018909899888766,47.0,0.5203559510567297,47.0,0.44338153503893213
48,0.7877641824249165,48.0,0.4255839822024471,48.0,0.4318131256952169
49,0.8353726362625139,49.0,0.6173526140155728,49.0,0.4958843159065628
50,0.6427141268075639,50.0,0.5626251390433815,50.0,0.5830923248053392
51,0.8727474972191324,51.0,0.40155728587319245,51.0,0.5127919911012235
52,0.725027808676307,52.0,0.4994438264738598,52.0,0.3931034482758621
53,0.6525027808676307,53.0,0.6324805339265851,53.0,0.38954393770856505
54,0.8780867630700778,54.0,0.5194660734149055,54.0,0.46785317018909905
55,0.5550611790878754,55.0,0.76048504197362,55.0,0.6614015572858732
56,0.7542552054682774,56.0,0.4513904338153503,56.0,0.4024471635150167
57,0.7815350389321468,57.0,0.5562354022627415,57.0,0.44783092324805335
58,0.8335928809788653,58.0,0.4629588431590656,58.0,0.6244716351501668
59,0.7308120133481646,59.0,0.5635150166852058,59.0,0.589321468298109
60,0.874972191323693,60.0,0.4825361512791991,60.0,0.4353726362625139
61,0.7615127919911011,61.0,0.5919911012235817,61.0,0.5470522803114571
62,0.6409343715239153,62.0,0.47897664071190205,62.0,0.38020022246941043
