Type,method,omega,species
Speciation_gene_pairs_inverse_direction,mean,0.119726550496,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.0952821,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.09157047251910841,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.1377763662878,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.1184,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.09482353066870072,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.13875449572,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.115269,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.10087464742546758,A. splendens
Speciation_gene_pairs_same_direction,mean,0.160320071175,A. splendens
Speciation_gene_pairs_same_direction,median,0.139555,A. splendens
Speciation_gene_pairs_same_direction,std,0.1064252864338654,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.11776436387000001,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.0934603,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.08871549706436592,A. searsii
Speciation_gene_pairs_same_direction,mean,0.1453163634858,A. searsii
Speciation_gene_pairs_same_direction,median,0.1237605,A. searsii
Speciation_gene_pairs_same_direction,std,0.0984913119601023,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.125205703652,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.1032005,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.08893489550691248,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.14655783498459998,A. aequalis
Speciation_gene_pairs_same_direction,median,0.126446,A. aequalis
Speciation_gene_pairs_same_direction,std,0.0974772107178195,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.129544344435,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.111759,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.09338088807711845,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.1504358354862,A. sativa.ot3098
