Index1,Corr_Value1,Index2,Corr_Value2
1,0.9074527252502781,1.0,0.6048943270300334
2,0.7450500556173526,2.0,0.5612903225806452
3,0.8255839822024471,3.0,0.8282536151279198
4,0.6422691879866518,4.0,0.8589543937708565
5,0.839377085650723,5.0,0.6347052280311457
6,0.8126807563959955,6.0,0.8331479421579533
7,0.810901001112347,7.0,0.7468298109010011
8,0.6560622914349278,8.0,0.6453837597330366
9,0.5968854282536151,9.0,0.5991101223581757
10,0.6725250278086763,10.0,0.6898776418242492
11,0.6614015572858732,11.0,0.717908787541713
12,0.6863181312569522,12.0,0.6315906562847609
13,0.7219132369299222,13.0,0.6760845383759733
14,0.850055617352614,14.0,0.7561735261401556
15,0.7348164627363738,15.0,0.8060066740823137
16,0.646718576195773,16.0,0.6369299221357063
17,0.596440489432703,17.0,0.657397107897664
18,0.646718576195773,18.0,0.5830923248053392
19,0.7557285873192436,19.0,0.7552836484983315
20,0.5283648498331479,20.0,0.7530589543937708
21,0.846496106785317,21.0,0.7027808676307008
22,0.6244716351501668,22.0,0.8816462736373749
23,0.7904338153503893,23.0,0.4901001112347052
24,0.8513904338153503,24.0,0.7223581757508343
25,0.539043381535039,25.0,0.6351501668520578
26,0.5853170189098998,26.0,0.7330367074527252
27,0.6200222469410456,27.0,0.6912124582869855
28,0.7446051167964404,28.0,0.8295884315906562
29,0.6378197997775306,29.0,0.8024471635150167
30,0.6658509454949945,30.0,0.6756395995550611
31,0.7098998887652946,31.0,0.7241379310344827
32,0.6324805339265851,32.0,0.6222469410456063
33,0.9083426028921023,33.0,0.6218020022246942
34,0.41846496106785314,34.0,0.8923248053392657
35,0.5061179087875418,35.0,0.8456062291434927
36,0.5345939933259177,36.0,0.6791991101223581
37,0.821579532814238,37.0,0.6436040044493881
38,0.8482758620689654,38.0,0.7526140155728587
39,0.7112347052280311,39.0,0.5541713014460512
40,0.8740823136818686,40.0,0.6974416017797552
41,0.7721913236929923,41.0,0.7014460511679643
42,0.7566184649610679,42.0,0.5648498331479421
43,0.6271412680756396,43.0,0.5604004449388209
44,0.703670745272525,44.0,0.5595105672969966
45,0.6600667408231368,45.0,0.6449388209121245
46,0.8144605116796441,46.0,0.5167964404894326
47,0.7183537263626251,47.0,0.6169076751946607
48,0.8847608453837598,48.0,0.7939933259176863
49,0.6649610678531702,49.0,0.6832035595105673
50,0.7192436040044494,50.0,0.9185761957730811
51,0.832258064516129,51.0,0.8144605116796441
52,0.6769744160177975,52.0,0.5937708565072302
53,0.793103448275862,53.0,0.671635150166852
54,0.8060066740823137,54.0,0.6640711902113459
55,0.8024471635150167,55.0,0.5599555061179087
56,0.7370411568409344,56.0,0.7926585094549499
57,0.8344827586206897,57.0,0.5866518353726363
58,0.40556173526140155,58.0,0.8607341490545051
59,0.8936596218020022,59.0,0.821579532814238
60,0.8509454949944383,60.0,0.7005561735261402
61,0.6898776418242492,61.0,0.7397107897664071
62,0.6244716351501668,62.0,0.5101223581757508
63,0.8780867630700778,63.0,0.6858731924360401
64,0.8825361512791992,64.0,0.5426028921023358
65,0.6681499651980051,65.0,0.7668520578420467
66,0.6404894327030033,66.0,0.7116796440489432
67,0.771301446051168,67.0,0.6369299221357063
68,0.6529477196885429,68.0,0.8278086763070076
69,0.8353726362625139,69.0,0.8175750834260289
70,0.8989988876529477,70.0,0.625361512791991
71,0.6387096774193549,71.0,0.5190211345939933
72,0.6987764182424916,72.0,0.6218020022246942
73,0.7877641824249165,73.0,0.7726362625139044
74,0.7588431590656284,74.0,0.8184649610678532
75,0.6262513904338153,75.0,0.7273334119987606
76,0.8611790878754171,76.0,0.7877641824249165
77,0.7899888765294771,77.0,0.7561735261401556
78,0.7664071190211346,78.0,0.6204671857619577
79,0.9159065628476083,79.0,0.5301446051167964
80,0.7276974416017797,80.0,0.4162402669632926
81,0.6364849833147942,81.0,0.699666295884316
82,0.8100111234705227,82.0,0.5764182424916573
83,0.7130144605116796,83.0,0.6338153503893215
84,0.6805339265850945,84.0,0.8344827586206897
85,0.7837597330367074,85.0,0.5087875417130144
86,0.7468298109010011,86.0,0.7971078976640712
87,0.8077864293659621,87.0,0.7624026696329255
88,0.8487208008898777,88.0,0.611123470522803
89,0.6827586206896552,89.0,0.728587319243604
90,0.6480533926585095,90.0,0.5332591768631813
91,0.8616240266963293,91.0,0.699666295884316
92,0.6484983314794216,92.0,0.7877641824249165
93,0.7067853170189099,93.0,0.7512791991101224
94,0.7032258064516129,94.0,0.6275862068965516
95,0.7552836484983315,95.0,0.7503893214682981
96,0.6484983314794216,96.0,0.7441601779755282
97,0.7908787541713014,97.0,0.7454949944382647
98,0.6440489432703003,98.0,0.5911012235817574
99,0.6765294771968854,99.0,0.5163515016685205
100,0.6694104560622914,100.0,0.8278086763070076
101,0.5661846496106785,101.0,0.6200222469410456
102,0.7944382647385985,102.0,0.5853170189098998
103,0.8340378197997775,103.0,0.6360400444938822
104,0.8153503893214683,104.0,0.5652947719688542
105,0.8206896551724139,105.0,0.7499443826473859
106,0.8362625139043381,106.0,0.8518353726362626
107,0.625361512791991,107.0,0.7490545050055617
108,0.8487208008898777,108.0,0.5350389321468298
109,0.839377085650723,109.0,0.7139043381535038
110,0.6382647385984427,110.0,0.5897664071190212
111,0.5301446051167964,111.0,0.5798197833186817
112,0.7686318131256953,112.0,0.7076751946607341
113,0.6560622914349278,113.0,0.710789766407119
114,0.7797552836484983,114.0,0.8972191323692991
115,0.5977753058954393,115.0,0.7850945494994438
116,0.7873192436040044,116.0,0.6645161290322581
117,0.8242491657397107,117.0,0.5617352614015573
118,0.8723025583982202,118.0,0.7615127919911011
119,0.6796440489432702,119.0,0.7183537263626251
120,0.846496106785317,120.0,0.7041156840934372
121,0.6809788654060066,121.0,0.6849833147942158
122,0.6832035595105673,122.0,0.5888765294771968
123,0.757508342602892,123.0,0.6320355951056729
124,0.72146829810901,124.0,0.5474972191323693
125,0.7268075639599554,125.0,0.7908787541713014
126,0.6480533926585095,126.0,0.6876529477196887
127,0.6471635150166852,127.0,0.7477196885428253
128,0.5630700778642936,128.0,0.5283648498331479
129,0.6088987764182424,129.0,0.6258064516129032
130,0.6956618464961067,130.0,0.7922135706340377
131,0.7054505005561735,131.0,0.5434927697441602
132,0.6511679644048943,132.0,0.8647385984427142
133,0.8389321468298109,133.0,0.7913236929922135
134,0.8149054505005562,134.0,0.7548387096774194
135,0.9288097886540599,135.0,0.8705228031145716
136,0.4117908787541713,136.0,0.6560622914349278
137,0.714349276974416,137.0,0.6645161290322581
138,0.9043381535038933,138.0,0.8763070077864292
139,0.6529477196885429,139.0,0.725027808676307
140,0.6703003337041158,140.0,0.5096774193548387
141,0.8313681868743048,141.0,0.7791745514896482
142,0.7592880978865406,142.0,0.7632925472747497
143,0.7566184649610679,143.0,0.75706340378198
144,0.8006674082313682,144.0,0.8154410997171789
145,0.717908787541713,145.0,0.6369299221357063
146,0.4269187986651835,146.0,0.6885428253615128
147,0.6667408231368186,147.0,0.7846496106785317
148,0.775305895439377,148.0,0.7112347052280311
149,0.8402669632925472,149.0,0.6814238042269187
150,0.868298109010011,150.0,0.8634037819799777
151,0.5746384872080088,151.0,0.8691879866518354
152,0.8963292547274748,152.0,0.7659621802002224
153,0.6689655172413793,153.0,0.7397107897664071
154,0.671635150166852,154.0,0.6298109010011124
155,0.9394883203559511,155.0,0.7899888765294771
156,0.6907675194660734,156.0,0.7041156840934372
157,0.8438264738598443,157.0,0.764182424916574
158,0.7908787541713014,158.0,0.5426028921023358
159,0.8162402669632925,159.0,0.6885428253615128
160,0.8233592880978865,160.0,0.7521690767519467
161,0.6662958843159065,161.0,0.6008898776418242
162,0.8536151279199109,162.0,0.5684093437152391
163,0.7632925472747497,163.0,0.7557285873192436
164,0.8046718576195773,164.0,0.6066740823136819
165,0.41401557285873186,165.0,0.7312569521690767
166,0.8371523915461624,166.0,0.7948832035595106
167,0.41935483870967744,167.0,0.7882091212458288
168,0.6685205784204672,168.0,0.6124582869855395
169,0.7281423804226919,169.0,0.8224694104560623
170,0.7535038932146829,170.0,0.5101223581757508
171,0.6778642936596218,171.0,0.7846496106785317
172,0.7299221357063403,172.0,0.7646273637374861
173,0.6404894327030033,173.0,0.7272525027808675
174,0.8122358175750835,174.0,0.6921023359288097
175,0.8420467185761957,175.0,0.5710789766407119
176,0.5461624026696329,176.0,0.789098998887653
177,0.8447163515016683,177.0,0.6889877641824249
178,0.8011123470522803,178.0,0.8834260289210233
179,0.80734149054505,179.0,0.6778642936596218
180,0.6658509454949945,180.0,0.8229143492769745
181,0.6631813125695216,181.0,0.7664071190211346
182,0.7539488320355952,182.0,0.5577308120133482
183,0.8438264738598443,183.0,0.5968854282536151
184,0.6698553948832036,184.0,0.646718576195773
185,0.611123470522803,185.0,0.8447163515016683
186,0.8460511679644049,186.0,0.6848370272658874
187,0.8531701890989989,187.0,0.5777530589543938
188,0.6529477196885429,188.0,0.7446051167964404
189,0.607563959955506,189.0,0.9154616240266963
190,0.6747497219132369,190.0,0.6879519455185585
191,0.6774193548387096,191.0,0.6903225806451613
192,0.8371523915461624,192.0,0.6355951056729701
193,0.7419354838709676,193.0,0.8193548387096774
194,0.8371523915461624,194.0,0.8211345939933259
195,0.8015572858731924,195.0,0.6800889877641824
196,0.867853170189099,196.0,0.8149054505005562
197,0.6418242491657397,197.0,0.8144605116796441
198,0.8545050055617353,198.0,0.7690767519466074
