gene:Sspon.01G0017230-1A gene:Sspon.01G0017280-1A
gene:Sspon.01G0017280-1A gene:Sspon.01G0017290-1A
gene:Sspon.01G0017880-1A gene:Sspon.01G0017880-1P
gene:Sspon.01G0017890-1A gene:Sspon.01G0017890-1P
gene:Sspon.01G0017930-1A gene:Sspon.01G0017950-1A
gene:Sspon.01G0017950-1A gene:Sspon.01G0017960-1A
gene:Sspon.01G0018030-1A gene:Sspon.01G0018060-1A
gene:Sspon.01G0018060-1A gene:Sspon.01G0018110-1A
gene:Sspon.01G0018110-1A gene:Sspon.01G0018120-1A
gene:Sspon.01G0018110-1A gene:Sspon.01G0018140-1A
gene:Sspon.01G0018120-1A gene:Sspon.01G0018140-1A
gene:Sspon.01G0018140-1A gene:Sspon.01G0018180-1A
gene:Sspon.01G0018740-1A gene:Sspon.01G0018760-1A
gene:Sspon.01G0019010-1A gene:Sspon.01G0019020-1A
gene:Sspon.01G0019140-1A gene:Sspon.01G0019150-1A
gene:Sspon.01G0019140-1A gene:Sspon.01G0019150-1P
gene:Sspon.01G0019150-1A gene:Sspon.01G0019150-1P
gene:Sspon.01G0019260-1P gene:Sspon.01G0019260-1A
gene:Sspon.01G0019510-1A gene:Sspon.01G0019520-1A
gene:Sspon.01G0019800-1A gene:Sspon.01G0019820-1A
gene:Sspon.01G0019810-1A gene:Sspon.01G0019810-1T
gene:Sspon.01G0019950-1P gene:Sspon.01G0019950-1A
gene:Sspon.01G0020020-1A gene:Sspon.01G0020040-1A
gene:Sspon.01G0020040-1A gene:Sspon.01G0020040-2P
gene:Sspon.01G0020070-1A gene:Sspon.01G0020110-1A
gene:Sspon.01G0020090-1A gene:Sspon.01G0020090-1P
gene:Sspon.01G0020190-1A gene:Sspon.01G0020210-1A
gene:Sspon.01G0020220-1A gene:Sspon.01G0020230-1A
gene:Sspon.01G0020260-1A gene:Sspon.01G0020310-1A
gene:Sspon.01G0020310-1A gene:Sspon.01G0020320-1P
gene:Sspon.01G0020570-1A gene:Sspon.01G0020570-1P
gene:Sspon.01G0020660-1A gene:Sspon.01G0020720-1A
gene:Sspon.01G0020680-1P gene:Sspon.01G0020760-1A
gene:Sspon.01G0020760-1A gene:Sspon.01G0020680-1A
gene:Sspon.01G0020670-1P gene:Sspon.01G0020670-2P
gene:Sspon.01G0021230-1A gene:Sspon.01G0021240-1A
gene:Sspon.01G0021280-1A gene:Sspon.01G0021280-1P
gene:Sspon.01G0021290-1A gene:Sspon.01G0021280-1P
gene:Sspon.01G0021400-1A gene:Sspon.01G0021420-1A
gene:Sspon.01G0021420-1A gene:Sspon.01G0021430-1A
gene:Sspon.01G0021420-1A gene:Sspon.01G0021440-1P
gene:Sspon.01G0021430-1A gene:Sspon.01G0021440-1A
