Depth	Species	Cluster_length	Cluster_number
2	A. splendens	21	0
2	A. splendens	22	0
2	A. splendens	23	1
2	A. splendens	24	0
2	A. splendens	25	0
2	A. splendens	26	0
2	A. splendens	27	0
2	A. splendens	28	0
2	A. splendens	29	0
2	A. splendens	30	0
2	A. splendens	31	0
2	A. splendens	32	0
2	C. lacryma.jobi	2	1655
2	C. lacryma.jobi	3	360
2	C. lacryma.jobi	4	139
2	C. lacryma.jobi	5	79
2	C. lacryma.jobi	6	30
2	C. lacryma.jobi	7	25
2	C. lacryma.jobi	8	9
2	C. lacryma.jobi	9	9
2	C. lacryma.jobi	10	1
2	C. lacryma.jobi	11	5
2	C. lacryma.jobi	12	3
2	C. lacryma.jobi	13	4
2	C. lacryma.jobi	14	2
2	C. lacryma.jobi	15	2
2	C. lacryma.jobi	16	1
2	C. lacryma.jobi	17	0
2	C. lacryma.jobi	18	0
2	C. lacryma.jobi	19	0
2	C. lacryma.jobi	20	0
2	C. lacryma.jobi	21	1
2	C. lacryma.jobi	22	0
2	C. lacryma.jobi	23	0
2	C. lacryma.jobi	24	0
2	C. lacryma.jobi	25	0
2	C. lacryma.jobi	26	0
2	C. lacryma.jobi	27	0
2	C. lacryma.jobi	28	0
2	C. lacryma.jobi	29	0
2	C. lacryma.jobi	30	0
2	C. lacryma.jobi	31	0
2	C. lacryma.jobi	32	0
2	C. macrourus	2	2834
2	C. macrourus	3	867
2	C. macrourus	4	350
2	C. macrourus	5	215
2	C. macrourus	6	100
2	C. macrourus	7	78
2	C. macrourus	8	56
2	C. macrourus	9	29
2	C. macrourus	10	18
2	C. macrourus	11	6
2	C. macrourus	12	4
2	C. macrourus	13	5
2	C. macrourus	14	10
2	C. macrourus	15	5
2	C. macrourus	16	5
2	C. macrourus	17	3
2	C. macrourus	18	4
2	C. macrourus	19	3
2	C. macrourus	20	0
2	C. macrourus	21	0
2	C. macrourus	22	1
2	C. macrourus	23	2
2	C. macrourus	24	2
2	C. macrourus	25	1
2	C. macrourus	26	0
2	C. macrourus	27	0
2	C. macrourus	28	0
2	C. macrourus	29	0
2	C. macrourus	30	0
2	C. macrourus	31	0
2	C. macrourus	32	1
2	E. tef	2	2768
2	E. tef	3	738
2	E. tef	4	355
2	E. tef	5	147
2	E. tef	6	81
2	E. tef	7	36
2	E. tef	8	18
2	E. tef	9	24
2	E. tef	10	8
2	E. tef	11	5
2	E. tef	12	6
2	E. tef	13	5
2	E. tef	14	4
2	E. tef	15	3
2	E. tef	16	2
2	E. tef	17	1
2	E. tef	18	0
2	E. tef	19	0
2	E. tef	20	1
2	E. tef	21	0
2	E. tef	22	0
2	E. tef	23	0
2	E. tef	24	0
2	E. tef	25	0
2	E. tef	26	0
2	E. tef	27	0
2	E. tef	28	0
2	E. tef	29	0
2	E. tef	30	0
2	E. tef	31	0
2	E. tef	32	0
2	L. perrieri	2	1183
2	L. perrieri	3	338
2	L. perrieri	4	140
2	L. perrieri	5	60
2	L. perrieri	6	31
2	L. perrieri	7	20
2	L. perrieri	8	8
2	L. perrieri	9	7
2	L. perrieri	10	6
2	L. perrieri	11	6
2	L. perrieri	12	4
2	L. perrieri	13	1
2	L. perrieri	14	0
2	L. perrieri	15	2
2	L. perrieri	16	0
2	L. perrieri	17	1
2	L. perrieri	18	0
2	L. perrieri	19	0
2	L. perrieri	20	0
2	L. perrieri	21	0
2	L. perrieri	22	0
2	L. perrieri	23	1
2	L. perrieri	24	0
2	L. perrieri	25	0
2	L. perrieri	26	0
2	L. perrieri	27	0
2	L. perrieri	28	0
2	L. perrieri	29	0
2	L. perrieri	30	0
2	L. perrieri	31	0
2	L. perrieri	32	0
3	A. sativa.ot3098	2	2153
3	A. sativa.ot3098	3	528
3	A. sativa.ot3098	4	208
3	A. sativa.ot3098	5	96
3	A. sativa.ot3098	6	55
